day,url,author,followers,engage,polarity,intensity,confidence,signals,topic_market
2026-06-01,https://x.com/0xJason/status/2061393134702170476,0xJason,13365,265,贪婪,2,0.85,喊单,混合
2026-06-01,https://x.com/0xKevin00/status/2061388643252719743,0xKevin00,70292,82,恐惧,2,0.75,,美股
2026-06-01,https://x.com/0xmasiwei/status/2061398224796311773,0xmasiwei,34182,102,贪婪,2,0.75,,混合
2026-06-01,https://x.com/0xmediaco/status/2061377128961302873,0xmediaco,31372,5,中性,1,0.75,,美股
2026-06-01,https://x.com/89JinPing64/status/2061384746387784037,89JinPing64,7228,8,中性,1,0.6,,A股
2026-06-01,https://x.com/A9xiaohui/status/2061411149023944948,A9xiaohui,5060,21,贪婪,3,0.9,喊单,币圈
2026-06-01,https://x.com/AStockLink/status/2061378391295803472,AStockLink,5438,3,中性,1,0.8,,A股
2026-06-01,https://x.com/AStockLink/status/2061378644493455816,AStockLink,5438,3,中性,1,0.8,,A股
2026-06-01,https://x.com/ArthurMorganMAG/status/2061370152915181893,ArthurMorganMAG,543,4,恐惧,2,0.8,,美股
2026-06-01,https://x.com/BMCJ888/status/2061418148478476306,BMCJ888,16176,195,中性,1,0.7,,A股
2026-06-01,https://x.com/BTC886_/status/2061345255606329525,BTC886_,1671,6,贪婪,2,0.85,喊单,混合
2026-06-01,https://x.com/BadAstart/status/2061352875721207999,BadAstart,3504,2,恐惧,2,0.7,,混合
2026-06-01,https://x.com/Billions_2022_/status/2061375196746195299,Billions_2022_,46730,158,贪婪,2,0.8,,混合
2026-06-01,https://x.com/Bitwux/status/2061429731539743185,Bitwux,377811,185,中性,1,0.65,,币圈
2026-06-01,https://x.com/Blazing_Sun1/status/2061415208879563040,Blazing_Sun1,35758,35,贪婪,2,0.7,喊单,A股
2026-06-01,https://x.com/CMhOeNnExY/status/2061363635138728228,CMhOeNnExY,12461,13,贪婪,2,0.7,,混合
2026-06-01,https://x.com/Clara_J_0529/status/2061403031770628594,Clara_J_0529,4675,8,贪婪,2,0.75,,A股
